match_id,season,match_date,venue,city,match_number,team_1,team_2,toss_winner,toss_decision,match_winner,player_of_match,win_type,win_margin,has_super_over
1473446,2025,2025-03-29,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,9,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,M Prasidh Krishna,run,36,0
1473447,2025,2025-03-30,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,10,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,MA Starc,wickets,7,0
1473448,2025,2025-03-30,"Barsapara Cricket Stadium, Guwahati",Guwahati,11,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,N Rana,run,6,0
1473449,2025,2025-03-31,"Wankhede Stadium, Mumbai",Mumbai,12,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Ashwani Kumar,wickets,8,0
1473450,2025,2025-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,13,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Punjab Kings,P Simran Singh,wickets,8,0
1473451,2025,2025-04-02,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,14,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,Mohammed Siraj,wickets,8,0
1473452,2025,2025-04-03,"Eden Gardens, Kolkata",Kolkata,15,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,VG Arora,run,80,0
1473453,2025,2025-04-04,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,16,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,DS Rathi,run,12,0
1473454,2025,2025-04-05,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,17,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,KL Rahul,run,25,0
1473455,2025,2025-04-05,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,18,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals,JC Archer,run,50,0
1473456,2025,2025-04-08,"Eden Gardens, Kolkata",Kolkata,21,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Lucknow Super Giants,N Pooran,run,4,0
1473457,2025,2025-04-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,19,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,Mohammed Siraj,wickets,7,0
1473458,2025,2025-04-07,"Wankhede Stadium, Mumbai",Mumbai,20,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bengaluru,RM Patidar,run,12,0
