match_id,season,match_date,venue,city,match_number,team_1,team_2,toss_winner,toss_decision,match_winner,player_of_match,win_type,win_margin,has_super_over
1473490,2025,2025-05-04,"Eden Gardens, Kolkata",Kolkata,53,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,Kolkata Knight Riders,AD Russell,run,1,0
1473491,2025,2025-05-04,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,54,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,field,Punjab Kings,P Simran Singh,run,37,0
1473493,2025,2025-05-06,"Wankhede Stadium, Mumbai",Mumbai,56,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,Shubman Gill,wickets,3,0
1473494,2025,2025-05-07,"Eden Gardens, Kolkata",Kolkata,57,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,Noor Ahmad,wickets,2,0
1473497,2025,2025-05-18,"Sawai Mansingh Stadium, Jaipur",Jaipur,59,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Punjab Kings,Harpreet Brar,run,10,0
1473498,2025,2025-05-18,"Arun Jaitley Stadium, Delhi",Delhi,60,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,B Sai Sudharsan,wickets,10,0
1473499,2025,2025-05-19,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,61,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Abhishek Sharma,wickets,6,0
1473500,2025,2025-05-20,"Arun Jaitley Stadium, Delhi",Delhi,62,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Akash Madhwal,wickets,6,0
1473501,2025,2025-05-21,"Wankhede Stadium, Mumbai",Mumbai,63,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,SA Yadav,run,59,0
1473502,2025,2025-05-22,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,64,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,Lucknow Super Giants,MR Marsh,run,33,0
1473503,2025,2025-05-23,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,65,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,Ishan Kishan,run,42,0
1473504,2025,2025-05-25,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,67,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,Chennai Super Kings,D Brevis,run,83,0
1473505,2025,2025-05-25,"Arun Jaitley Stadium, Delhi",Delhi,68,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,H Klaasen,run,110,0
1473506,2025,2025-05-26,"Sawai Mansingh Stadium, Jaipur",Jaipur,69,Mumbai Indians,Punjab Kings,Punjab Kings,field,Punjab Kings,JP Inglis,wickets,7,0
1473507,2025,2025-05-27,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,70,Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,JM Sharma,wickets,6,0
1485779,2025,2025-05-24,"Sawai Mansingh Stadium, Jaipur",Jaipur,66,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,Sameer Rizvi,wickets,6,0
1426309,2024,2024-05-21,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,MA Starc,wickets,8,0
1426310,2024,2024-05-22,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,R Ashwin,wickets,4,0
1426311,2024,2024-05-24,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,Shahbaz Ahmed,run,36,0
1426312,2024,2024-05-26,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,MA Starc,wickets,8,0
1473508,2025,2025-05-29,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh,,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,Suyash Sharma,wickets,8,0
1473509,2025,2025-05-30,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,,Mumbai Indians,Gujarat Titans,Mumbai Indians,bat,Mumbai Indians,RG Sharma,run,20,0
1473510,2025,2025-06-01,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,,Mumbai Indians,Punjab Kings,Punjab Kings,field,Punjab Kings,SS Iyer,wickets,5,0
1473511,2025,2025-06-03,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Royal Challengers Bengaluru,KH Pandya,run,6,0
